Testing clue 1;answer1
;kapituła
;kapota
;kaprys
;kaptur
;kara
;karabinek
;karat
;karma
;karmnik
;karnet
;karota
;karton
;kasa
;kasownik
;kasztel
;katarakta
;katarzynka
;katastrofa
;katastrofizm
;katedra
;kawaleria
;keson
;kielich
;kielnia
;kieł
;kierownica
;kijanka
;kimono
;kipa
;kiść
;klamra
;klapa
;klaps
;klauzura
;klawisz
;klepsydra
;kleszcze
;klin
;klipa
;klips
;klocek
;klon
;klucz
;kłąb
;kłoda
;kłusować
;knebel
;knot
;knypel
;koc
;kocher
;kocioł
;kocz
;kodeks
;kolba
;kolczatka
;kolczyk
;koleba
;kolejka
;kolektor
;kolęda
;kolizja
;kolka
;kolokwium
;kolon
;kolonia
;kolumna
;kołek
;kołnierz
;koło
;kołowacieć
;kołowrót
;kołtun
;kołyska
;koma
;komenda
;komers
;komin
;komplement
;komuna
;koncentrat
;koncepcja
;koncha
;konik
;konkret
;konkurs
;konsola
;konsonans
;konsulat
;kontrakcja
;kontrast
;konwersja
;konwój
;kopciuszek
;koperta
;kopia
;kopista
;kopniak
;kopuła
;kopyto
;kora
;kord
;korek
;korepetycja
;korkociąg
;kornet
;korona
;korso
;kort
;koryfeusz
;koryto
;kosmetyczka
;kostur
;kosz
;koszulka
;kotlina
;kotwica
;kowal
;koza
;koźlak
;krajanka
;kran
;krata
;kratownica
;krawat
;kredens
;krem
;krepa
;krepować
;krok
;krokiet
;krokus
;kropidło
;krosno
;króciak
;kruczek
;krupnik
;kruszenie
;kryzys
;krzywica
;krzywienie
;krzyż
;krzyżak
;kubeł
;kudu
;kufa
;kufer
;kukiełka
;kuknąć
;kuks
;kula
;kulenie
;kulka
;kulkować
;kumka
;kuna
;kunica
;kupić
;kurant
;kurs
;kurtyna
;kurzysko
;kustosz
;kusz
;kusza
;kuszetka
;kuter
;kwadratura
;kwarta
;kwartowy
;kwaterka
;kwiat
;kwietyzm
;kwik
;labirynt
;lada
;lak
;lama
;lampas
;lancet
;landszaft
;laserować
;laska
;latarnia
;latawiec
;legenda
;lej
;lejba
;lejka
;lekcja
;lemiesz
;lenić się
;lewada
;lewar
;libra
;licha
;licówka
;licznik
;likier
;likwacja
;liniowiec
;linka
;lira
;listwa
;literka
;lob
;lodówka
;logistyka
;logos
;lokacja
;lokator
;lora
;lot
;lotka
;lubo
;luneta
;lustro
;łamacz
;łan
;łańcuch
;łapa
;łata
;ława
;ławica
;łaźnia
;łączka
;łątka
;łęk
;łodyga
;łokieć
;łom
;łopatka
;łódka
;ług
;łupina
;łuska
;łyżka
;magazyn
;majaczenie
;makieta
;malaria
;mamut
;maniera
;mankiet
;marka
;markować
;mars
;marsz
;martwienie
;marynarka
;marynizm
;masować
;maślacz
;mat
;matnia
;matryca
;mazurek
;mech
;mendlować
;meta
;metaboliczny
;metka
;metka
;metodyzm
;metryka
;miech
;miecz
;miednica
;mielec
;mielnica
;mienić się
;mina
;minorka
;mira
;młot
;młynarka
;modła
;moduł
;mora
;morga
;morion
;morzysko
;mostek
;mościć
;mozaika
;mozaista
;mucha
;mufka
;mularz
;muł
;mus
;muza
;nabawić się
;nabić
;nabrać
;nachodzić się
;naciąć
;naciągać
;naciek
;naciosać
;naciskać
;naczesać
;nadawać
;nadawać się
;nadrobić
;nadstawny
;nadwątlenie
;nagłówek
;nagrać się
;nagrodzić
;nakierować się
;nakleić się
;nakreślić
;nakręcić
;nalepka
;należeć się
;namazać
;namierzyć
;nanieść
;napalić
;napastować
;napchać się
;napuszczać
;napuszyć się
;napytać
;narciarka
;narznąć
;narzucać
;narzucać się
;nasada
;naskrobać
;nasłanie
;nastawać
;nastawiać
;nastawiać się
;nastraszyć
;nastroić
;nastroić się
;naszyć
;natopić
;natrzeć
;natrzeć się
;nawalać
;nawiązać
;nawiercić
;nawieźć
;nawlec
;nawracać się
;neon
;nereida
;nestor
;niciarka
;niemczenie
;nieudany
;niewodny
;nisza
;nit
;nitka
;niwelacja
;nokturn
;nomenklatura
;nonkonformizm
;norka
;norma
;nota
;nowela
;numer
;nurt
;nuta
;oberżyna
;obezwładnienie
;obława
;obłazić
;obłąk
;obórka
;obóz
;obramować
;obraz
;obstawa
;ocena
;ociemnienie
;odłam
;odparować
;odprawa
;odradzać
;odwiedzenie
;oficyna
;ogarek
;ogniwo
;ogródkowy
;okólnik
;okrąg
;okrężnica
;okupacja
;okupować
;opala
;opcja
;opierać
;oracja
;orbita
;orfizm
;orgia
;orka
;ornament
;osełka
;ospa
;ostoja
;pachołek
;pachwina
;pacierz
;paciorkowiec
;packa
;paczka
;pagaj
;pak
;palec
;palestra
;paleta
;pała
;pałanka
;pałąk
;pałeczka
;pałuba
;panewka
;pantograf
;papa
;para
;parabola
;parada
;parcie
;park
;parnas
;parować
;parówka
;part
;parter
;partia
;parzyć
;pasiak
;pasja
;pasować
;pasterka
;pasynek
;patron
;patyna
;pauza
;pazur
;pączek
;pekińczyk
;pełnia
;pełnienie
;pergamin
;perlak
;perspektywa
;perturbacja
;peruka
;peryferia
;perypetia
;pestka
;petryfikacja
;pewnie; 7. mówić śmiało, bezceremonialnie, bez ogr
;pęcherz
;pęd
;pędrak
;pędzić
;pękać
;pętak
;pętla
;piać
;pianka
;piano
;piasek
;piaskownica
;piaskownik
;piastowy
;piastun
;piątka
;piątkowy
;pić
;piec
;piechur
;piekielnica
;pieniactwo
;pieniek
;pienny
;pień
;pieprzówka
;piernik
;pieróg
;pierś
;pierścień
;pierwiastek
;pierwowzór
;pierwszoplanowy
;pierzchnąć
;pierzysko
;pieśń
;pięta
;piętka
;piętno
;piętro
;pigment
;pigułka
;pijawka
;pik
;pika
;pikać
;pikantny
;pikieta
;pikować
;pilarz
;pilnie
;pilot
;piła
;piłka
;pion
;pionier
;pióro
;piruet
;pisanka
;pisarz
;pismo
;piston
;pisywać
;piwnica
;placenta
;placówka
;plamić
;plan
;planować
;planowy
;plansza
;plantować
;plaster
;plastron
;plastyczność
;plastyka
;plater
;platforma
;platyna
;plazma
;plebs
;plecy
;plisa
;plomba
;plombować
;plusk
;płacić
;płaksa
;płaszcz
;płaszczyzna
;płat
;płatać
;płatek
;płaz
;płetwa
;płochacz
;płomyk
;płonieć
;płonka
;płonny
;płowienie
;płoza
;płuczka
;płyta
;płytki
;pływacz
;pływak
;pneumatyk
;pniak
;pobiałka
;pobielenie
;pobór
;pobudka
;pobujać
;pochewka
;pochlebny
;pochodzić
;pochwa
;pochylnia
;pociąg
;pociągać
;pocić się
;pociemnienie
;pociskać
;poczta
;pocztowiec
;pocztowy
;poczuć
;poczytać
;podać
;podanie
;podarować
;podawać
;podbicie
;podbijak
;podbudowa
;podchód
;podchwycić
;podchwyt
;podcięcie
;poddać
;poddaństwo
;podejrzany
;podejrzenie
;podejście
;poderwać
;podesłanie
;podeszwa
;podgląd
;podgrupa
;podgrzewacz
;podjąć
;podkład
;podkładka
;podkówka
;podkreślić
;podkręcić
;podkupić
;podle
;podległy
;podłamać
;podłokietnik
;podłoże
;podłużny
;podmiot
;podmyć
;podniebienie
;podniecić
;podnóżek
;podpasanie
;podpaska
;podpaść
;podpierać
;podpis
;podpora
;podporowy
;podpórka
;podprowadzić
;podpuścić
;podrażnić
;podrobić
;podróżować
;podrywać
;podrywać się
;podrzut
;podsadzić
;podskoczyć
;podsłuch
;podstawa
;podstawka
;podściółka
;poduszka
;podwiązka
;podwodnik
;podwodny
;podwodzie
;podworcowy
;podziać
;podział
;podziemie
;pogłębiacz
;pogoda
;pogrążać
;pogromca
;pojedynek
;pojemność
;pokalać
;pokarm
;pokazać
;pokład
;pokłosie
;pokłusować
;pokolenie
;pokosić
;pokrywa
;polano
;polanowy
;polaryzacja
;pole
;polecenie
;poler
;polewa
;polewaczka
;policzek
;poligamia
;poligon
;polip
;polo
;polonez
;polówka
;połączyć
;połeć
;połowa
;połowić
;południe
;pomadka
;pomiot
;pomnożyć
;pomoc
;pomost
;pomówić
;pompa
;pompa
;pompka
;ponęta
;ponosić
;poopierać
;popadać
;popchnąć
;popęd
;popielnica
;popiół
;popołudniówka
;poprawa
;poprawny
;poprzeczka
;populacja
;populizm
;por
;pora
;poręcz
;portfel
;portierka
;portret
;poruszać
;porzucać
;posada
;posłanie
;postój
;postrzelać
;postulat
;poszyć
;poślizg
;potasować
;potencja
;potęga
;potnik
;potok
;potrącać
;potykać się
;poufny
;powalać
;powalcować
;poważyć się
;poweselenie
;powieść
;powiewać
;powłóczyć
;powozić
;powód
;powstać
;powypierać
;powyrywać
;pozawałowy
;poziom
;pozostawiać
;pozować
;pozytyw
;pożyczyć
;półka
;północ
;półoś
;półsłupek
;półtonowy
;prać
;pragmatyka
;praktyka
;prasa
;prawica
;prawidło
;prawy
;prąd
;prątek
;predestynacja
;predykat
;prekursor
;preparat
;pretensja
;prezentacja
;pręcik
;pręt
;proca
;procedura
;proces
;produkt
;profesjonalizm
;profil
;projekcja
;proletariat
;prolog
;promienica
;promienienie
;promień
;proporcja
;prosić się
;prostować
;prostownik
;protektor
;protest
;prowincja
;prowizorka
;próba
;próchnica
;próg
;próżnia
;prusak
;prymityw
;pryncypał
;pryzma
;przebitka
;przebój
;przebrać
;przebyć
;przecenić
;przechodzić
;przeciąg
;przeciągarka
;przecinka
;przeciwieństwo
;przeciwuderzenie
;przecznica
;przeczyć
;przedłużacz
;przedmiot
;przedpokojowy
;przedsionek
;przeganiać
;przegładzać
;przegub
;przelać
;przelicznik
;przelot
;przełazić
;przełom
;przemieszać
;przenosić
;przepasanie
;przepełzać
;przepływać
;przeprawa
;przepustka
;przerost
;przerwa
;przerywać
;przerywnik
;przerzut
;przesłona
;przesłuchać
;przestawać
;przestęp
;przestój
;przestrzeń
;przesyp
;przetoka
;przetokowy
;przewrót
;przodek
;przodownik
;przybitka
;przybytek
;przyczółek
;przydział
;przygarnąć
;przygoda
;przyłbica
;przypadek
;przypisać
;przyssawka
;przystawać
;przytoczyć
;przytułek
;przywierać
;przywilej
;psychoza
;pudlarz
;pudło
;puf
;pulchnienie
;puryzm
;puszka
;rabunek
;racja
;racjonalizacja
;rafa
;rajd
;rak
;rakieta
;rama
;ramiączko
;rampa
;ranny
;rapsod
;raster
;raszpla
;raut
;raz
;rdza
;rdzeń
;reakcja
;reaktor
;recepcja
;redakcja
;redukcja
;reduktor
;reduta
;referat
;refleks
;refleksja
;reflektor
;regalia
;regeneracja
;reglamentacja
;rekin
;reklamować
;reklamówka
;rekwizyt
;relacja
;relief
;relikt
;remedium
;remiza
;replika
;repryza
;restauracja
;restaurator
;reszta
;retardacja
;retencja
;rewers
;rewir
;rewizja
;rezerwa
;rezonans
;rezonować
;rezygnacja
;reżym
;reżyserka
;rębacz
;riposta
;robak
;robinsonada
;rocznik
;rogal
;rogatka
;rolada
;rolka
;romanca
;romantyk
;rondo
;ropniak
;rosić
;rosocha
;rostra
;rotacja
;rotunda
;rozbieg
;rozbiór
;rozbroić
;rozdrapać
;rozdział
;rozeta
;rozgorzeć
;rozjazd
;rozjątrzyć
;rozkład
;rozkręcić
;rozłóg
;rozmnożyć
;rozmówka
;rozniecić
;rozprawa
;rozprysk
;rozpusta
;rozrusznik
;rozrzut
;rozszczepić
;roztrząsać
;rozważyć
;rozwora
;rozziew
;rożek
;rów
;równość
;równoważnik
;róża
;różnica
;rubież
;ruina
;ruletka
;runda
;rurka
;rusałka
;ruszać
;ruszt
;ryga
;rygiel
;rygor
;rylec
;rynek
;rynna
;rys
;rysa
;rytm
;ryza
;rzecz
;rzeź
;rzęsa
;rzut
;sadz
;safari
;sak
;salon
;samarytanin
;samotnik
;sanacja
;sanie
;sanki
;sapa
;saperka
;sarkać
;sarna
;satelita
;sączek
;scena
;sceptycyzm
;schemat
;schnąć
;schody
;schodzić
;secesja
;segregator
;sekcja
;sekta
;sektor
;sekwencja
;semafor
;seminarium
;senior
;sensacja
;sentymentalizm
;serce
;seria
;serpentyna
;serpentynowy
;serwis
;serwis
;serwować
;sesja
;setka
;sezam
;sezon
;sęk
;sękacz
;sfera
;sfora
;siatka
;siatkarz
;sieczka
;sieć
;siekacz
;sielanka
;sienny
;sierp
;siła
;siłownia
;siniak
;sinica
;sinienie
;siodełko
;siodło
;siostra
;sitarz
;sito
;siwienie
;siwy
;skafander
;skalar
;skalarny
;skaleczenie
;skalować
;skapitulować
;skarbniczka
;skarpa
;skaza
;skiba
;sklejka
;skład
;składnik
;skok
;skopać
;skorupa
;skóra
;skrobaczka
;skromny
;skrypt
;skrytość
;skrzele
;skrzydełko
;skrzyp
;skulać
;skupić
;skurcz
;słanie
;słonik
;słonina
;słonisko
;słownik
;słowo
;słój
;słuch
;słupek
;służba
;służyć
;smak
;smarować
;smoczek
;smółka
;smugowy
;snop
;sobór
;sodowy
;sok
;solanka
;solowy
;solówka
;soma
;sonda
;sopel
;sopor
;spad
;spadek
;spajać
;spałowanie
;sparować
;sparzyć
;spasować
;spazm
;spieszyć
;spinacz
;spirala
;spisowy
;splisować
;splot
;spływ
;spoić
;spoina
;spust
;srogi
;stagnacja
;stajanie
;stalować
;stalówka
;stancja
;stanica
;stanowisko
;starka
;staropolszczyzna
;starosta
;statek
;statyka
;staw
;stawiać
;stawka
;stek
;stela
;stempel
;ster
;sterczeć
;stereotyp
;sternik
;sterować
;sterta
;sterylizować
;stękać
;stężenie
;stłuc
;stłuczka
;stłumić
;stoicki
;stołowy
;stonować
;stop
;stopa
;stoper
;stopień
;stopka
;stos
;stosunek
;stójka
;stracić
;straszak
;strateg
;strawić
;strącić
;stres
;strofa
;stroić
;strona
;strop
;strój
;strugowy
;strupieć
;strużka
;strużyna
;strych
;strzał
;strzałka
;strzelec
;strzemiączko
;strzykać
;studio
;studium
;studnia
;studniowy
;stuknąć
;stygmat
;styk
;styl
;stymulacja
;stypa
;sublimacja
;substytucja
;suchar
;suchy
;suknia
;suma
;sumować
;surówka
;suszka
;suwak
;swada
;syfon
;sylabowiec
;sylwetka
;symetria
;symulacja
;synteza
;sypać
;syrena
;szaber
;szachownica
;szafir
;szaleć
;szalowy
;szarża
;szczep
;szczery
;szczęka
;szczotka
;szczypce
;szczyt
;szeląg
;szemrać
;szew
;szklanka
;szkliwo
;szkoda
;szkoła
;szkot
;szlak
;szlakowy
;sznyt
;szoferka
;szopka
;szopowy
;szor
;szot
;szpagat
;szpat
;szpilka
;szranki
;sztabowy
;sztandar
;sztanga
;sztuczka
;sztuka
;sztyft
;sztylet
;sztywnienie
;szufla
;szum
;szumieć
;szus
;szwajcar
;szybowy
;szyfrowy
;szyk
;szyna
;ściana
;ściągać
;ściemnienie
;ścisły
;ślad
;śledź
;ślimacznica
;ślizg
;śmiga
;średnica
;środek
;śruba
;śrutować
;świnka
;świst
;świta
;świtezianka
;tablica
;tabor
;tabun
;takt
;taktyka
;talent
;talerz
;talia
;talkowy
;tama
;tambur
;tantalowy
;tantiema
;tara
;taran
;taras
;tarcza
;tarczówka
;targ
;tarka
;tartan
;taryfa
;taśma
;tchórz
;teatr
;teczka
;tekstura
;temat
;temblak
;tempo
;tendencja
;tercja
;teren
;terma
;termin
;terminator
;termit
;test
;testować
;tetra
;tetryczenie
;teza
;tęgi
;tępienie
;tępota
;tętnić
;tężeć
;tężenie
;tkacz
;tlenowiec
;tło
;tłok
;tłuc
;tłuk
;tłumić
;tłumik
;tłuszczenie
;toaleta
;toczek
;toczyć
;tok
;tolerancja
;ton
;tonik
;tonowy
;toń
;top
;topić
;topos
;tor
;torba
;torebka
;torowiec
;torowy
;toto
;towarzysz
;trabant
;tracić
;tracz
;tradycja
;trafiać
;tragedia
;tragizm
;trajkot
;trakt
;traktat
;trał
;tram
;tramp
;trampolina
;transformacja
;transkrypcja
;translacja
;trap
;trasa
;trasować
;trawers
;trawiarka
;trąba
;trąbka
;trącić
;trefić
;trefny
;tren
;treść
;trojaczek
;trop
;tropik
;troska
;trójca
;trójkąt
;trójnóg
;truć
;trusia
;tryb
;trybuna
;trybunał
;tryton
;tryumf
;trzaskać
;trzęsionka
;trzon
;trzonek
;trzpień
;trzymać
;trzytonowy
;tuleja
;tulić
;tuman
;tumanienie
;tunel
;tunika
;tupet
;turniej
;tusz
;tusza
;tuszować
;twardziel
;tygrys
;tyk
;tyka
;tykać
;tykać się
;tympanon
;typ
;tyran
;tytan
;tytuł
;ubić
;ubiegać się
;ubijak
;ubiorek
;ubrać
;ucho
;uchodzić
;uchwyt
;ucieczka
;ucisk
;uczulić
;udar
;udział
;uformować
;uformować się
;ugadać się
;uganiać się
;ugasić
;ugodzić
;ujadać
;ujęcie
;ujście
;układ
;ukos
;ukręcić
;ukuć
;ulga
;ulotny
;ulżyć
;ułamek
;umbra
;umorzyć
;unia
;unieść
;unosić się
;uosabiać
;upadek
;upalić
;upaść
;upić
;upijać
;uprawiać
;uprzedzać
;urazić
;urągać
;urna
;urobić
;uroczysko
;uroda
;urok
;urwać
;urząd
;uskok
;usługa
;ustać
;ustąpić
;ustęp
;ustnik
;ustrój
;usunąć
;usypać
;usypisko
;uśmierzać
;uświadomić
;utarczka
;utkać
;utlenić
;utoczyć
;utrafić
;utrącić
;utrzeć
;utwierdzić
;utworzyć
;utwór
;utykać
;uwaga
;uwalać się
;uważać
;uwolnić
;uzbroić
;uznać
;użyczyć
;użyć
;wachlarz
;wada
;waga
;wahanie
;wakat
;walcować
;walcowy
;walczyć
;walec
;walić
;walor
;wał
;wanta
;wapienny
;wapniak
;war
;warga
;wariacja
;warować
;warstwa
;wartować
;warunek
;wata
;wataha
;watówka
;wazelina
;ważka
;wąs
;wątek
;wcielać
;wdechowy
;wdepnąć
;wdrażać
;wegetacja
;wejść
;welon
;werbować
;wersja
;weto
;wędzić
;węgielny
;węgierka
;węzeł
;wiara
;wiatrak
;wiatrówka
;wiązać
;wiązanka
;wiązka
;widełki
;widły
;widmo
;widok
;widzieć
;wiecha
;wiechowy
;wiedza
;wiek
;wielki
;wielopostaciowość
;wielorybnik
;wielotonowy
;wieniec
;wiersz
;wiertarka
;wierzch
;wierzyć
;wieszać
;wieszczenie
;wietrzenie
;wietrznik
;wiktoria
;wilczek
;wilżenie
;wina
;winkiel
;winny
;wino
;wirówka
;witać
;witalny
;wizja
;wizjer
;wizytka
;wkład
;wkładka
;wkopać
;wkręcić
;wkroczyć
;wlew
;władza
;włoszczyzna
;włośnica
;włóka
;włókno
;wnieść
;wniknąć
;wodnik
;wolant
;wole
;wolina
;wolno
;worek
;wozak
;wpis
;wprawić
;wpust
;wrąb
;wręga
;wrzeciono
;wrzeć
;wskaźnik
;wspornik
;wstawka
;wstęp
;wstrząs
;wsuwka
;wsypowy
;wtórny
;wtyczka
;wybaczać
;wybieg
;wybiegać
;wybielenie
;wybór
;wybrnąć
;wybuch
;wyburzenie
;wychodzić
;wyciąg
;wycieczka
;wycieńczenie
;wycieraczka
;wycinek
;wyczyn
;wydech
;wyderka
;wydobrzenie
;wygładzać
;wyjałowienie
;wyjątek
;wyjście
;wykład
;wykop
;wykreślić
;wykręcić
;wykrój
;wykwit
;wylatać
;wylew
;wylot
;wyłazić
;wyłożyć
;wymiar
;wymienny
;wymowa
;wymówka
;wyniszczenie
;wynosić
;wynosić się
;wynurzać
;wypad
;wypełnienie
;wypierać
;wypierać się
;wypis
;wypływać
;wypowiedzieć
;wyprawa
;wyprowadzić
;wypuścić
;wyraz
;wyrobić
;wyrocznia
;wyrównanie
;wyróżnik
;wyrywać
;wyrzut
;wyrzutnia
;wyskok
;wysłanie
;wysławiać
;wysnuć
;wysokość
;występ
;wystrzelać
;wyszabrować
;wytaczać
;wytrzeszcz
;wytrzymałość
;wywalać
;wywiad
;wywierać
;wywieszać
;wywodzić
;wywozić
;wywrotka
;wywrót
;wyznaczyć
;wyzwać
;wziernik
;wznieść
;wzorzec
;wzór
;zaangażować
;zaatakować
;zabieg
;zabór
;zachodzić
;zaciąg
;zacięcie
;zacisk
;zacząć
;zaczepiać
;zaczepić
;zadać
;zadęcie
;zadrżeć
;zagładzać
;zagłówek
;zagon
;zagrać
;zagrywka
;zajazd
;zajeżdżać
;zaklepać
;zakładka
;zalecenie
;załącznik
;załoga
;zamarkować
;zamarzać
;zamek
;zamiana
;zamieszać
;zamsz
;zanosić
;zanosić się
;zapadać
;zapalarka
;zaperzać się
;zapierać
;zapis
;zapora
;zapowiedź
;zaprawa
;zarys
;zarywać
;zarzucać
;zarzutka
;zasada
;zasadzka
;zasłona
;zasób
;zastawny
;zastęp
;zastój
;zaszłość
;zatarcie
;zatoka
;zator
;zatrzask
;zausznica
;zawalać
;zawalać się
;zawalcować
;zawał
;zawód
;zażyć
;ząb
;zbieracz
;zbiornik
;zbiorowisko
;zbiórka
;zbroić
;zburzenie
;zdrada
;zdrobnienie
;zdrożenie
;zdrój
;zefir
;zelżenie
;zemdlenie
;zero
;zespół
;zeszyt
;ześlizg
;zganiać
;zgon
;zgorzel
;zgrabienie
;zgraja
;zgryz
;zguba
;ziarniak
;zieleniak
;zielonka
;ziemianin
;ziemianka
;zimowisko
;zjawisko
;zjeżdżać
;zlecenie
;zlewisko
;zlewnia
;zładować
;złazić
;złodziejka
;złom
;złoty
;zmartwienie
;zmaza
;zmora
;zmysł
;zmywarka
;znaczek
;znak
;znamię
;znosić
;zobojętnienie
;zraz
;zrąb
;zrost
;zrywać
;zrzutka
;zsypisko
;zszywka
;zubożenie
;zuch
;zwalać
;zwał
;zwałować
;zwarcie
;zwiad
;zwiastun
;związek
;zwierciadło
;zwietrzenie
;zwis
;zwolnienie
;zwolnienie
;zwrot
;zwrotnica
;zwyczaj
;zysk
;żabka
;żagiew
;żak
;żakiet
;żar
;żebro
;żebrować
;żel
;żeton
;żigolo
;żłobek
;żniwiarka
;żołądź
;żółcień
;żółć
;żubrówka
;żuk
;żuraw
;żużel
;żwacz
;życie
;żyła
;żyłka
;żyro
;żywiec
;żywot
